qid,leader,iso3,country_name,start_year,end_year,entry,exit,family_in_govt_count,family_in_govt_binary,family_in_govt_details,places_named_count,places_named_binary,places_named_details,grandiose_titles_count,grandiose_titles_binary,grandiose_titles_details
Q888147,Delgado Chalbaud,VEN,VEN,1948,1950,Irregular,Irregular,0,0,,0,0,,0,0,
Q718250,Sanabria,VEN,VEN,1958,1959,Regular,Regular,0,0,,0,0,,0,0,
Q455661,Campins,VEN,VEN,1979,1984,Regular,Regular,1,0,Pablo Herrera Campíns (sibling): list governors of Portuguesa; Pablo Herrera Campíns (sibling): senator of Venezuela,0,0,,0,0,
Q718256,Burnham,GUY,GUY,1966,1985,Regular,Natural Death,0,0,,0,0,,0,0,
Q887418,Hoyte,GUY,GUY,1985,1992,Regular,Regular,0,0,,0,0,,0,0,
Q724156,Jagan Cheddi,GUY,GUY,1992,1997,Regular,Natural Death,1,0,Janet Jagan (spouse): Prime Minister of Guyana; Janet Jagan (spouse): President of Guyana; Janet Jagan (spouse): First Lady of Guyana,0,0,,0,0,
Q57697,Samuel Hinds,GUY,GUY,1997,1997,Regular,Regular,0,0,,0,0,,0,0,
Q239709,Janet Jagan,GUY,GUY,1997,1999,Regular,Retired Due to Ill Health,1,0,Cheddi Jagan (spouse): Prime Minister of Guyana,0,0,,0,0,
Q212760,Bharrat Jagdeo,GUY,GUY,1999,2011,Regular,Regular,0,0,,0,0,,0,0,
Q333129,Ferrier,SUR,SUR,1975,1980,Regular,Irregular,1,0,Kathleen Ferrier (child): member of the House of Representatives of the Netherlands,0,0,,0,0,
Q434746,Arosemena Gomez,ECU,ECU,1966,1968,Regular,Regular,0,0,,0,0,,0,0,
Q743354,Borja Cevallos,ECU,ECU,1988,1992,Regular,Regular,0,0,,0,0,,0,0,
Q471248,Mahuad,ECU,ECU,1998,2000,Regular,Irregular,0,0,,0,0,,0,0,
Q116718,Ugarteche,PER,PER,1956,1962,Regular,Irregular,5,1,Clorinda Málaga de Prado (spouse): First Lady of Peru; Javier Prado (sibling): President of the Council of Ministers of Peru; Javier Prado (sibling): Minister of Foreign Affairs of Peru; Javier Prado (sibling): Minister of the Interior of Peru; Javier Prado (sibling): rector of the National University of San Marcos; Javier Prado (sibling): member of the Senate of Peru; Jorge Prado Ugarteche (sibling): President of the Council of Ministers of Peru; Jorge Prado Ugarteche (sibling): Minister of the Interior of Peru; Jorge Prado Ugarteche (sibling): Member of the Chamber of Deputies of Peru; Mariano Prado Ugarteche (sibling): Member of the Chamber of Deputies of Peru,0,0,,0,0,
Q311431,Velasco Alvarado,PER,PER,1968,1975,Irregular,Irregular,1,0,Consuelo Gonzales Posada (spouse): First Lady of Peru,0,0,,0,0,
Q296679,Dutra,BRA,BRA,1946,1951,Regular,Regular,1,0,Carmela Dutra (spouse): First Lady,13,1,Presidente Dutra; Presidente Dutra; Rodovia Presidente Dutra; Q4376758; Avenida Presidente Dutra; Ponte Presidente Dutra; Q10351370; Praça Popular; Q61002450; Biblioteca Jardim Presidente Dutra; Q63256687; Presidente Dutra; Q111922171,0,0,
Q192361,Ranieri Mazzilli,BRA,BRA,1961,1961,Regular,Regular,1,0,Sílvia Mazzilli (spouse): First Lady,0,0,,0,0,
Q192361,Ranieri Mazzilli,BRA,BRA,1964,1964,Regular,Regular,1,0,Sílvia Mazzilli (spouse): First Lady,0,0,,0,0,
Q294241,Geisel,BRA,BRA,1974,1979,Regular,Regular,0,0,,1,0,President Ernesto Geisel avenue,0,0,
Q236503,Mello,BRA,BRA,1990,1992,Regular,Regular,2,1,Rosane Collor (spouse): First Lady; Arnon Afonso de Farias Melo (parent): member of the Senate of Brazil; Arnon Afonso de Farias Melo (parent): federal deputy of Alagoas,0,0,,0,0,
Q485946,"Franco, Itamar",BRA,BRA,1992,1994,Regular,Regular,0,0,,0,0,,0,0,
Q230578,Cardoso,BRA,BRA,1995,2003,Regular,Regular,0,0,,0,0,,0,0,
Q886540,Siles Salinas,BOL,BOL,1969,1969,Regular,Irregular,2,1,Hernán Siles Zuazo (sibling): president of Bolivia; Hernán Siles Zuazo (sibling): Vice President of Bolivia; Hernando Siles Reyes (parent): president of Bolivia,0,0,,0,0,
Q555207,Paz Zamora,BOL,BOL,1989,1993,Regular,Regular,1,0,Rodrigo Paz Pereira (child): president of Bolivia,0,0,,0,0,
Q312668,Carlos Mesa,BOL,BOL,2003,2005,Regular,Regular,1,0,José Mesa Figueroa (parent): museum director,0,0,,0,0,
Q628530,Frutos,PRY,PAR,1948,1948,Irregular,Regular,0,0,,0,0,,0,0,
Q152534,Stroessner,PRY,PAR,1954,1989,Irregular,Irregular,1,0,Ligia Stroessner (spouse): First Lady of Paraguay,1,0,Estadio Alfredo Stroessner,0,0,
Q576,Alessandri Rodriguez,CHL,CHL,1958,1964,Regular,Regular,3,1,Fernando Alessandri (sibling): president of the Senate of Chile; Eduardo Alessandri Rodríguez (sibling): deputy of Chile; Eduardo Alessandri Rodríguez (sibling): senator of Chile; Arturo Alessandri (parent): President of Chile; Arturo Alessandri (parent): president of the Senate of Chile; Arturo Alessandri (parent): deputy of Chile; Arturo Alessandri (parent): Chilean Minister of Finance; Arturo Alessandri (parent): Minister of the Interior of Chile,0,0,,0,0,
Q475,Frei Montalva,CHL,CHL,1964,1970,Regular,Regular,2,1,Eduardo Frei Ruiz-Tagle (child): President of Chile; Eduardo Frei Ruiz-Tagle (child): senator for life; Eduardo Frei Ruiz-Tagle (child): president of the Senate of Chile; Eduardo Frei Ruiz-Tagle (child): senator of Chile; Carmen Frei (child): senator of Chile,1,0,Base Presidente Eduardo Frei Montalva,0,0,
Q440,Allende,CHL,CHL,1970,1973,Regular,Irregular,3,1,María Isabel Allende (child): president of the Chamber of Deputies of Chile; María Isabel Allende (child): president of the Senate of Chile; María Isabel Allende (child): deputy of Chile; María Isabel Allende (child): senator of Chile; Hortensia Bussi (spouse): First Lady of Chile; Laura Allende (sibling): deputy of Chile,102,1,Allendia; Salvador Allende Bridge; Salvador-Allende-Straße; Q2467779; Allende; place Salvador-Allende; Avenida Carlos III; Q9640273; President Allendelaan; S. Allendeplein; Salvador Allendestraat; Scuola primaria Salvador Allende di Garbagnate Milanese; Salvador Allende; Q56859631; Q57519510; Patinoire Salvador-Allende; Q63078961; Q66605061; Q66605079; Q66605083,0,0,
Q368,Pinochet,CHL,CHL,1973,1990,Irregular,Regular,0,0,,4,1,Carretera Austral; Pinochetism; Dufek Massif; Q51536284,0,0,
Q335,Aylwin,CHL,CHL,1990,1994,Regular,Regular,3,1,Mariana Aylwin (child): deputy of Chile; Andrés Aylwin (sibling): deputy of Chile; Arturo Aylwin (sibling): Q130544998,1,0,Plaza Patricio Aylwin,0,0,
Q365431,Lonardi,ARG,ARG,1955,1955,Irregular,Irregular,1,0,Mercedes Villada Achával (spouse): First Lady,0,0,,0,0,
Q188974,Aramburu,ARG,ARG,1955,1958,Irregular,Regular,0,0,,0,0,,0,0,
Q346658,Frondizi,ARG,ARG,1958,1962,Regular,Irregular,0,0,,1,0,Presidente Arturo Frondizi Highway,0,0,
Q270368,Arturo Illia,ARG,ARG,1963,1966,Regular,Irregular,1,0,Silvia Martorell (spouse): First Lady of Argentina,5,1,Autopista Dr. Arturo Umberto Illia; Q5713349; Q5732810; Presidente Illia train station; Asociación Biblioteca Popular Arturo U. Illia,0,0,
Q313996,Viola,ARG,ARG,1981,1981,Regular,Retired Due to Ill Health,0,0,,0,0,,0,0,
Q124993,Galtieri,ARG,ARG,1981,1982,Irregular,Irregular,0,0,,0,0,,0,0,
Q298430,Bignone,ARG,ARG,1982,1983,Regular,Regular,0,0,,0,0,,0,0,
Q185107,Menem,ARG,ARG,1989,1999,Regular,Regular,1,0,Eduardo Menem (sibling): member of the Argentine Chamber of Senators,0,0,,0,0,
Q294578,Eduardo Duhalde,ARG,ARG,2002,2003,Regular,Regular,1,0,Hilda González de Duhalde (spouse): member of the Argentine Chamber of Deputies; Hilda González de Duhalde (spouse): member of the Argentine Chamber of Senators,0,0,,0,0,
Q367083,Pacheco Areco,URY,URU,1967,1972,Regular,Regular,1,0,Jorge Pacheco Klein (child): Member of the Chamber of Representatives of Uruguay,0,0,,0,0,
Q129006,Atlee,GBR,UKG,1945,1951,Regular,Regular,2,1,"Martin Attlee, 2nd Earl Attlee (child): member of the House of Lords; Violet Attlee, Countess Attlee (spouse): spouse of the prime minister of the United Kingdom",1,0,Attlee Glacier,2,1,Earl Attlee; Viscount Prestwood
Q8016,Churchill,GBR,UKG,1951,1955,Regular,Regular,3,1,Randolph Churchill (child): member of the 37th Parliament of the United Kingdom; Clementine Churchill (spouse): spouse of the prime minister of the United Kingdom; Clementine Churchill (spouse): member of the House of Lords; Lord Randolph Churchill (parent): Chancellor of the Exchequer; Lord Randolph Churchill (parent): Secretary of State for India; Lord Randolph Churchill (parent): Leader of the House of Commons; Lord Randolph Churchill (parent): member of the 21st Parliament of the United Kingdom; Lord Randolph Churchill (parent): member of the 22nd Parliament of the United Kingdom; Lord Randolph Churchill (parent): member of the 23rd Parliament of the United Kingdom; Lord Randolph Churchill (parent): member of the 24th Parliament of the United Kingdom,96,1,Churchill College; Churchill; USS Winston S. Churchill; Churchill-laan; Churchillplein; Churchill Peninsula; Churchilllaan; avenue Winston-Churchill; International Churchill Society; HMS Churchill; Churchill Mountains; Churchillparken; Winston Churchill Bridge; Winston; Churchill Club; Churchill station; Churchill Square; Churchill Theatre; Churchill–Roosevelt Highway; SR Battle of Britain class 21C151 “Winston Churchill”,5,1,Sir; The Right Honourable; The Old Lion; The pug; Le vieux Lion
Q128995,Eden,GBR,UKG,1955,1957,Regular,Retired Due to Ill Health,2,1,"Nicholas Eden, 2nd Earl of Avon (child): member of the House of Lords; Clarissa Eden (spouse): spouse of the prime minister of the United Kingdom",4,1,Q1283493; Anthony Eden hat; Eden Glacier; Anthony Edenstraat,3,1,The Right Honourable; Earl of Avon; Viscount Eden
Q128985,MacMillan,GBR,UKG,1957,1963,Regular,Regular,2,1,Maurice Macmillan (child): Chief Secretary to the Treasury; Maurice Macmillan (child): Economic Secretary to the Treasury; Maurice Macmillan (child): Member of the Privy Council of the United Kingdom; Maurice Macmillan (child): member of the 41st Parliament of the United Kingdom; Maurice Macmillan (child): member of the 42nd Parliament of the United Kingdom; Maurice Macmillan (child): member of the 44th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 45th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 46th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 47th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 48th Parliament of the United Kingdom,1,0,Rosa 'Harold Macmillan',4,1,The Right Honourable; Earl of Stockton; Viscount Macmillan of Ovenden; Supermac
Q128956,Wilson,GBR,UKG,1964,1970,Regular,Regular,1,0,"Mary Wilson, Baroness Wilson of Rievaulx (spouse): spouse of the prime minister of the United Kingdom; Mary Wilson, Baroness Wilson of Rievaulx (spouse): Booker Prize judge",0,0,,2,1,The Right Honourable; Baron Wilson
Q128967,Heath,GBR,UKG,1970,1974,Regular,Regular,0,0,,0,0,,1,1,The Right Honourable
